system:index,CellCode,LATITUDE,LONGITUDE,PLOTID,batch,constant,country,stratum,.geo
00000000000000001bb4_0,60794286,48.22690663850286,13.28789742131581,a13-28789742131581_48-22690663850286,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033e_0,64850499,46.87655890267308,15.29328807715893,a15-29328807715893_46-87655890267308,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e1_0,64850499,47.21300589985041,16.18365006356509,a16-18365006356509_47-21300589985041,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000093b_0,64850499,47.05383729243382,16.12376163939557,a16-12376163939557_47-05383729243382,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e3d_0,64850499,46.8145372650273,15.52945460985346,a15-52945460985346_46-8145372650273,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e51_0,64850499,47.07163218863667,15.98652952985355,a15-98652952985355_47-07163218863667,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dfa_0,64850499,46.99972606206524,16.23020430748948,a16-23020430748948_46-99972606206524,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e2d_0,64850499,47.04695727447486,15.51201878093413,a15-51201878093413_47-04695727447486,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000022b0_0,64850499,46.70157742070383,15.39407851321488,a15-39407851321488_46-70157742070383,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000019fc_0,69813674,46.68484489478062,14.44884901051691,a14-44884901051691_46-68484489478062,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001aca_0,69813674,46.62238920235784,14.34219358978069,a14-34219358978069_46-62238920235784,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a23_0,73573979,47.47339657848823,15.37679766974287,a15-37679766974287_47-47339657848823,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e5b_0,73573979,47.97042683555074,16.41741956195807,a16-41741956195807_47-97042683555074,countries,6,AUT,cropland loss,"{""type"":""MultiPoint"",""coordinates"":[]}"
