selectedName,sessionID,REFID,INDEX,verification,baseline_land_use,change_type,change_type_2,confidence,timespent,notes,starred,PLOTID
ioanna_petsiou,1738794859766,a17-6388828160455_47-47479723458181,0,no,cropland,NA,NA,very certain,657.253,NA,FALSE,a17-6388828160455_47-47479723458181
ioanna_petsiou,1738794859766,a25-11936172804775_54-67861309866841,1,yes,grassland/wetland,Residential,NA,moderately certain,424.593,NA,FALSE,a25-11936172804775_54-67861309866841
ioanna_petsiou,1738794859766,a7-1501258678302_46-91022233147673,3,no,grassland/wetland,NA,NA,moderately certain,235.036,NA,FALSE,a7-1501258678302_46-91022233147673
ioanna_petsiou,1738794859766,a17-67902097777132_47-57944479181226,4,no,cropland,NA,NA,very certain,193.931,NA,FALSE,a17-67902097777132_47-57944479181226
ioanna_petsiou,1738794859766,a15-00822444499898_46-07002084929103,7,no,forest,NA,NA,very certain,266.952,NA,FALSE,a15-00822444499898_46-07002084929103
ioanna_petsiou,1738794859766,a3-32672511505999_50-2697760027641,8,yes,bareland,"Transport, Communication Networks, and Logistics",NA,very certain,289.462,NA,FALSE,a3-32672511505999_50-2697760027641
ioanna_petsiou,1738794859766,a15-85011669821139_45-77034901764891,9,yes,grassland/wetland,"Transport, Communication Networks, and Logistics",NA,moderately certain,670.943,NA,FALSE,a15-85011669821139_45-77034901764891
ioanna_petsiou,1738794859766,a10-5682284441609_55-12538839064377,10,no,cropland,NA,NA,very certain,132.059,NA,FALSE,a10-5682284441609_55-12538839064377
ioanna_petsiou,1738794859766,a26-15134444883857_43-20314139957358,11,no,forest,NA,NA,very certain,168.905,NA,FALSE,a26-15134444883857_43-20314139957358
ioanna_petsiou,1738794859766,a10-95110841452361_44-0316321249061,13,no,forest,NA,NA,very certain,188.997,NA,FALSE,a10-95110841452361_44-0316321249061
ioanna_petsiou,1738794859766,a3-7267438263542_51-68070038951491,14,yes,grassland/wetland,"Transport, Communication Networks, and Logistics",NA,very certain,257.445,NA,FALSE,a3-7267438263542_51-68070038951491
ioanna_petsiou,1738794859766,a27-41029974499428_42-52722439369117,15,yes,cropland,NA,NA,very certain,142.309,NA,FALSE,a27-41029974499428_42-52722439369117
